Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area,Status
Male,1,0,Graduate,,371600,0,4200000,180,1,Rural,1
Male,0,0,0t Graduate,0,318900,259800,12000000,,1,Rural,1
Female,0,0,Graduate,0,833300,0,28000000,360,1,Semiurban,1
Male,1,1,Graduate,0,315500,177900,14000000,360,1,Semiurban,1
Male,1,1,Graduate,0,550000,126000,17000000,360,1,Rural,1
Male,1,0,Graduate,,574600,0,25500000,360,,Urban,0
Female,0,0,Graduate,1,346300,0,12200000,360,,Urban,1
Female,0,1,Graduate,0,381200,0,11200000,360,1,Rural,1
Male,1,1,Graduate,0,331500,0,9600000,360,1,Semiurban,1
Male,1,2,Graduate,0,581900,500000,12000000,360,1,Rural,1
Male,1,1,0t Graduate,0,251000,198300,14000000,180,1,Urban,0
Male,0,0,Graduate,0,296500,570100,15500000,60,1,Urban,1
Male,1,2,Graduate,1,625000,130000,10800000,360,1,Rural,1
Male,1,0,0t Graduate,0,340600,441700,12300000,360,1,Semiurban,1
Male,0,0,Graduate,1,605000,433300,12000000,180,1,Urban,0
Male,1,2,Graduate,0,970300,0,11200000,360,1,Urban,1
Male,1,1,0t Graduate,0,660800,0,13700000,180,1,Urban,1
Male,1,1,Graduate,0,288200,184300,12300000,480,1,Semiurban,1
Male,1,0,Graduate,0,180900,186800,9000000,360,1,Urban,1
Male,1,0,0t Graduate,0,166800,389000,20100000,360,0,Semiurban,0
Female,0,2,Graduate,0,342700,0,13800000,360,1,Urban,0
Male,0,0,0t Graduate,1,258300,216700,10400000,360,1,Rural,1
Male,1,1,0t Graduate,0,266100,710100,27900000,180,1,Semiurban,1
Male,0,0,Graduate,1,1625000,0,19200000,360,0,Urban,0
Female,0,4,Graduate,0,308300,0,25500000,360,1,Rural,1
Male,0,0,0t Graduate,0,604500,0,11500000,360,0,Rural,0
Male,1,4,Graduate,0,525000,0,9400000,360,1,Urban,0
Male,1,0,Graduate,0,1468300,210000,30400000,360,1,Rural,0
Male,1,4,0t Graduate,0,493100,0,12800000,360,,Semiurban,0
Male,1,1,Graduate,0,608300,425000,33000000,360,,Urban,1
Male,0,0,Graduate,0,206000,220900,13400000,360,1,Semiurban,1
Female,0,1,Graduate,0,348100,0,15500000,36,1,Semiurban,0
Female,0,0,Graduate,0,720000,0,12000000,360,1,Rural,1
Male,0,0,Graduate,1,516600,0,12800000,360,1,Semiurban,1
Male,0,0,Graduate,0,409500,344700,15100000,360,1,Rural,1
Male,1,2,Graduate,0,470800,138700,15000000,360,1,Semiurban,1
Male,1,4,Graduate,0,433300,181100,16000000,360,0,Urban,1
Female,0,0,Graduate,,341800,0,13500000,360,1,Rural,0
Female,0,1,Graduate,0,287600,156000,9000000,360,1,Urban,1
Female,0,0,Graduate,0,323700,0,3000000,360,1,Urban,1
Male,1,0,Graduate,0,1114600,0,13600000,360,1,Urban,1
Male,0,0,Graduate,0,283300,185700,12600000,360,1,Rural,1
Male,1,0,Graduate,0,262000,222300,15000000,360,1,Semiurban,1
Male,1,2,Graduate,0,390000,0,9000000,360,1,Semiurban,1
Male,1,1,Graduate,0,275000,184200,11500000,360,1,Semiurban,1
Male,1,0,Graduate,0,399300,327400,20700000,360,1,Semiurban,1
Male,1,0,Graduate,0,310300,130000,8000000,360,1,Urban,1
Male,1,0,Graduate,0,1458300,0,43600000,360,1,Semiurban,1
Female,1,0,0t Graduate,0,410000,0,12400000,360,,Rural,1
Male,0,1,0t Graduate,1,405300,242600,15800000,360,0,Urban,0
Male,1,0,Graduate,0,392700,80000,11200000,360,1,Semiurban,1
Male,1,2,Graduate,0,230100,98579.99878,7800000,180,1,Urban,1
Female,0,0,Graduate,0,181100,166600,5400000,360,1,Urban,1
Male,1,0,Graduate,0,2066700,0,0,360,1,Rural,0
Male,0,0,Graduate,0,315800,305300,8900000,360,1,Rural,1
Female,0,0,Graduate,1,260000,171700,9900000,300,1,Semiurban,0
Male,1,0,Graduate,0,370400,200000,12000000,360,1,Rural,1
Female,0,0,Graduate,0,412400,0,11500000,360,1,Semiurban,1
Male,0,0,Graduate,0,950800,0,18700000,360,1,Rural,1
Male,1,0,Graduate,0,307500,241600,13900000,360,1,Rural,1
Male,1,2,Graduate,0,440000,0,12700000,360,0,Semiurban,0
Male,1,2,Graduate,0,315300,156000,13400000,360,1,Urban,1
Female,0,,Graduate,0,541700,0,14300000,480,0,Urban,0
Male,1,0,Graduate,0,238300,333400,17200000,360,1,Semiurban,1
Male,1,4,Graduate,,441600,125000,11000000,360,1,Urban,1
Male,1,1,Graduate,0,687500,0,20000000,360,1,Semiurban,1
Female,1,1,Graduate,0,466600,0,13500000,360,1,Urban,1
Female,0,0,Graduate,0,500000,254100,15100000,480,1,Rural,0
Male,1,1,Graduate,0,201400,292500,11300000,360,1,Urban,0
Male,1,0,0t Graduate,0,180000,293400,9300000,360,0,Urban,0
Male,1,,0t Graduate,0,287500,175000,10500000,360,1,Semiurban,1
Female,0,0,Graduate,0,500000,0,13200000,360,1,Rural,1
Male,1,1,Graduate,0,162500,180300,9600000,360,1,Urban,1
Male,0,0,Graduate,0,400000,250000,14000000,360,1,Rural,1
Male,0,0,0t Graduate,0,200000,0,0,360,1,Urban,0
Female,0,0,Graduate,0,376200,166600,13500000,360,1,Rural,1
Female,0,0,Graduate,0,240000,186300,10400000,360,0,Urban,0
Male,0,0,Graduate,0,2023300,0,48000000,360,1,Rural,0
Male,1,2,0t Graduate,0,766700,0,18500000,360,,Rural,1
Female,0,0,Graduate,0,291700,0,8400000,360,1,Semiurban,1
Male,0,0,0t Graduate,0,292700,240500,11100000,360,1,Semiurban,1
Female,0,0,Graduate,0,250700,0,5600000,360,1,Rural,1
Male,1,2,Graduate,1,574600,0,14400000,84,,Rural,1
,1,0,Graduate,0,247300,184300,15900000,360,1,Rural,0
Male,1,1,0t Graduate,0,339900,164000,11100000,180,1,Urban,1
Male,1,2,Graduate,0,371700,0,12000000,360,1,Semiurban,1
Male,1,0,Graduate,0,205800,213400,8800000,360,,Urban,1
Female,0,1,Graduate,0,354100,0,11200000,360,,Semiurban,1
Male,1,1,Graduate,1,1000000,0,15500000,360,1,Rural,0
Male,1,0,Graduate,0,240000,216700,11500000,360,1,Semiurban,1
Male,1,4,Graduate,0,434200,18900,12400000,360,1,Semiurban,1
Male,1,2,0t Graduate,0,360100,159000,0,360,1,Rural,1
Female,0,0,Graduate,0,316600,298500,13200000,360,,Rural,1
Male,1,4,Graduate,0,1500000,0,30000000,360,1,Rural,1
Male,1,1,Graduate,1,866600,498300,37600000,360,0,Rural,0
Male,0,0,Graduate,0,491700,0,13000000,360,0,Rural,1
Male,1,0,Graduate,1,581800,216000,18400000,360,1,Semiurban,1
Female,1,0,Graduate,0,433300,245100,11000000,360,1,Urban,0
Female,0,0,Graduate,0,250000,0,6700000,360,1,Urban,1
Male,0,1,Graduate,0,438400,179300,11700000,360,1,Urban,1
Male,0,0,Graduate,0,293500,0,9800000,360,1,Semiurban,1
Male,0,,Graduate,0,283300,0,7100000,360,1,Urban,1
Male,1,0,Graduate,,6333700,0,49000000,180,1,Urban,1
,1,1,Graduate,1,983300,183300,18200000,180,1,Urban,1
Male,1,,Graduate,1,550300,449000,7000000,,1,Semiurban,1
Male,1,1,Graduate,,525000,68800,16000000,360,1,Rural,1
Male,1,2,Graduate,1,250000,460000,17600000,360,1,Rural,1
Female,0,4,0t Graduate,0,183000,0,0,360,0,Urban,0
Female,0,0,Graduate,0,416000,0,7100000,360,1,Semiurban,1
Male,1,4,0t Graduate,0,264700,158700,17300000,360,1,Rural,0
Female,0,0,Graduate,0,237800,0,4600000,360,1,Rural,0
Male,1,1,0t Graduate,0,455400,122900,15800000,360,1,Urban,1
Male,1,4,0t Graduate,0,317300,0,7400000,360,1,Semiurban,1
Male,1,2,Graduate,,258300,233000,12500000,360,1,Rural,1
Male,1,0,Graduate,0,249900,245800,16000000,360,1,Semiurban,1
Male,1,,0t Graduate,0,352300,323000,15200000,360,0,Rural,0
Male,1,2,0t Graduate,0,308300,216800,12600000,360,1,Urban,1
Male,1,0,Graduate,0,633300,458300,25900000,360,,Semiurban,1
Male,1,0,Graduate,0,262500,625000,18700000,360,1,Rural,1
Male,1,0,Graduate,0,908300,0,22800000,360,1,Semiurban,1
Male,0,0,Graduate,0,875000,416700,30800000,360,1,Rural,0
Male,1,4,Graduate,0,266600,208300,9500000,360,1,Rural,1
Female,1,0,Graduate,1,550000,0,10500000,360,0,Rural,0
Female,1,0,Graduate,0,242300,50500,13000000,360,1,Semiurban,1
Female,0,,Graduate,0,381300,0,11600000,180,1,Urban,1
Male,1,2,Graduate,0,833300,316700,16500000,360,1,Rural,1
Male,1,1,Graduate,0,387500,0,6700000,360,1,Urban,0
Male,1,0,0t Graduate,0,300000,166600,10000000,480,0,Urban,0
Male,1,4,Graduate,0,516700,316700,20000000,360,1,Semiurban,1
Female,0,1,Graduate,0,472300,0,8100000,360,1,Semiurban,0
Male,1,2,Graduate,0,500000,366700,23600000,360,1,Semiurban,1
Male,1,0,Graduate,0,475000,233300,13000000,360,1,Urban,1
Male,1,0,Graduate,0,301300,303300,9500000,300,,Urban,1
Male,0,0,Graduate,1,682200,0,14100000,360,1,Rural,1
Male,0,0,0t Graduate,0,621600,0,13300000,360,1,Rural,0
Male,0,0,Graduate,0,250000,0,9600000,480,1,Semiurban,0
Male,0,0,Graduate,0,512400,0,12400000,,0,Rural,0
Male,1,1,Graduate,0,632500,0,17500000,360,1,Semiurban,1
Male,1,0,Graduate,0,1973000,526600,57000000,360,1,Rural,0
Female,0,0,Graduate,1,1575900,0,5500000,360,1,Semiurban,1
Male,1,2,Graduate,0,518500,0,15500000,360,1,Semiurban,1
Male,1,2,Graduate,1,932300,787300,38000000,300,1,Rural,1
Male,0,1,Graduate,0,306200,198700,11100000,180,0,Urban,0
Female,0,0,Graduate,,276400,145900,11000000,360,1,Urban,1
Male,1,0,Graduate,0,481700,92300,12000000,180,1,Urban,1
Male,1,4,Graduate,0,875000,499600,13000000,360,1,Rural,1
Male,1,0,Graduate,0,431000,0,13000000,360,,Semiurban,1
Male,0,0,Graduate,0,306900,0,7100000,480,1,Urban,0
Male,1,2,Graduate,0,539100,0,13000000,360,1,Urban,1
Male,1,0,Graduate,,333300,250000,12800000,360,1,Semiurban,1
Male,0,0,Graduate,0,594100,423200,29600000,360,1,Semiurban,1
Female,0,0,Graduate,0,600000,0,15600000,360,1,Urban,1
Male,0,0,Graduate,1,716700,0,12800000,360,1,Urban,1
Male,1,2,Graduate,0,456600,0,10000000,360,1,Urban,0
Male,0,1,Graduate,,366700,0,11300000,180,1,Urban,1
Male,0,0,0t Graduate,0,234600,160000,13200000,360,1,Semiurban,1
Male,1,0,0t Graduate,0,301000,313600,0,360,0,Urban,0
Male,1,0,Graduate,0,233300,241700,13600000,360,1,Urban,1
Male,1,0,Graduate,0,548800,0,12500000,360,1,Rural,1
Male,0,4,Graduate,0,916700,0,18500000,360,1,Rural,1
Male,1,4,Graduate,0,950400,0,27500000,360,1,Rural,1
Male,1,0,Graduate,0,258300,211500,12000000,360,,Urban,1
Male,1,2,0t Graduate,0,199300,162500,11300000,180,1,Semiurban,1
Male,1,2,Graduate,0,310000,140000,11300000,360,1,Urban,1
Male,1,2,Graduate,0,327600,48400,13500000,360,,Semiurban,1
Female,0,0,Graduate,0,318000,0,7100000,360,0,Urban,0
Male,1,0,Graduate,0,303300,145900,9500000,360,1,Urban,1
Male,0,0,0t Graduate,0,390200,166600,10900000,360,1,Rural,1
Female,0,0,Graduate,0,150000,180000,10300000,360,0,Semiurban,0
Male,1,2,0t Graduate,0,288900,0,4500000,180,0,Urban,0
Male,0,0,0t Graduate,0,275500,0,6500000,300,1,Rural,0
